from,to
math.pre,math.algebra
math.pre,math.geometry
math.geometry,math.trig
math.algebra,math.functions
math.functions,math.calc1
math.calc1,math.calc2
math.calc2,math.ode
math.ode,math.pde
math.vectors,math.pde
math.algebra,math.linalg
math.calc2,math.vectors
math.linalg,math.vectors
math.algebra,math.complex
math.trig,math.complex
math.calc2,math.prob
math.prob,math.stat
math.calc2,math.nummethods
math.linalg,math.nummethods
math.calc2,math.analysis
math.pde,math.advanced
math.analysis,math.advanced
math.complex,math.advanced
math.linalg,math.grouptheory
math.prob,math.mc
math.stat,math.mc
cs.python,math.mc
math.linalg,math.optimization
math.calc1,math.optimization
math.pre,cs.python
cs.python,cs.numpy
math.linalg,cs.numpy
cs.numpy,cs.data
math.stat,cs.data
math.stat,cs.uq
math.mc,cs.uq
cs.numpy,cs.uq
cs.uq,cs.vv
math.nummethods,cs.vv
cs.python,cs.hpc
math.calc1,phys.mech
math.vectors,phys.mech
phys.mech,phys.energy
phys.mech,phys.grav
math.vectors,phys.em
phys.mech,phys.em
phys.em,phys.emi
math.vectors,phys.emi
math.trig,phys.waves
phys.mech,phys.waves
math.calc1,phys.thermo
phys.energy,phys.thermo
phys.thermo,phys.statmech
math.prob,phys.statmech
phys.mech,phys.relativity
phys.emi,phys.relativity
math.ode,phys.qm1
math.linalg,phys.qm1
math.complex,phys.qm1
phys.emi,phys.qm1
phys.relativity,phys.qm1
phys.qm1,phys.qm2
math.advanced,phys.qm2
phys.qm1,phys.atomic
phys.atomic,phys.molecular
phys.qm1,phys.condmat
phys.statmech,phys.condmat
phys.em,phys.accel_basics
phys.relativity,phys.accel_basics
phys.qm1,part.intro
phys.relativity,part.intro
part.intro,part.sm
math.grouptheory,part.sm
phys.qm2,part.sm
part.intro,part.quarks
part.intro,part.forces
part.sm,part.neutrino
nuc.decay,part.neutrino
part.quarks,part.detectors
rad.detectors,part.detectors
phys.accel_basics,part.accel
phys.emi,part.accel
part.sm,part.hep
part.detectors,part.hep
part.sm,part.qft
phys.qm2,part.qft
math.advanced,part.qft
math.pre,chem.general
chem.general,chem.structure
phys.atomic,chem.structure
chem.structure,chem.bonding
chem.bonding,chem.organic
chem.bonding,chem.inorganic
chem.structure,chem.inorganic
